tid,src,dst,amt,time,day_of_week,is_fraud
269,p605,p2393,184.84,9,3,False
270,p3550,p3384,676.55,6,5,False
271,p69,p3842,909.55,15,7,False
272,p1716,p2038,75.79,21,7,False
273,p1011,p4920,206.0,22,2,False
274,p4177,p4765,260.09,1,4,False
275,p3816,p4335,644.17,20,6,False
276,p1732,p1798,126.83,6,7,False
277,p1550,p2833,388.8,16,1,False
278,p4992,p3424,614.6,23,3,False
279,p4424,p59,514.8,9,2,False
280,p382,p1225,705.42,21,2,False
281,p1082,p3424,759.22,17,5,False
282,p1903,p4715,280.33,8,6,False
283,p2528,p249,279.54,5,6,False
284,p1679,p3954,154.77,17,1,False
285,p520,p848,274.57,13,6,False
286,p4813,p2981,88.07,18,7,False
287,p1469,p1347,191.36,4,6,False
288,p3663,p1032,818.6,24,6,False
289,p2700,p510,454.8,6,3,False
290,p2218,p3892,539.31,18,2,False
291,p4840,p4330,246.03,20,4,False
292,p1670,p1626,252.96,16,2,False
293,p83,p641,144.28,24,6,False
294,p2913,p1855,598.67,8,1,False
295,p3066,p4967,697.37,2,7,False
296,p1678,p4789,547.33,16,7,False
297,p1909,p3340,753.34,11,4,False
298,p2558,p1115,916.21,5,5,False
299,p2383,p2891,124.8,16,3,False
300,p3872,p122,185.84,21,4,False
301,p400,p2594,142.77,20,7,False
302,p1187,p4115,383.48,1,2,False
303,p5000,p1552,716.42,5,1,False
304,p553,p238,507.36,24,6,False
305,p869,p4431,439.29,18,5,False
306,p4810,p2328,764.64,11,2,False
307,p4181,p377,526.22,14,6,False
308,p4350,p2753,593.17,17,4,False
309,p4733,p1343,517.52,18,6,False
310,p2573,p2669,329.37,11,5,False
311,p3353,p138,719.74,15,1,False
312,p4137,p2012,317.22,9,4,False
313,p4763,p479,110.59,2,2,False
314,p3704,p1840,790.51,2,6,False
315,p2754,p4292,79.49,18,4,False
316,p4358,p2229,96.76,14,4,False
317,p4854,p1635,202.05,13,1,False
318,p2879,p4829,612.58,21,7,False
319,p510,p2244,102.25,22,3,False
320,p367,p1555,840.56,16,7,False
321,p4210,p3222,645.78,13,3,False
322,p2530,p1578,345.43,1,3,False
323,p1914,p2747,596.09,10,6,False
324,p597,p47,158.64,14,3,False
325,p3570,p2943,596.26,21,6,False
326,p3846,p4268,556.77,24,4,False
327,p835,p2096,509.82,13,6,False
328,p4020,p1042,268.24,18,5,False
329,p2185,p1138,517.84,24,1,False
330,p1944,p1017,109.57,10,1,False
331,p4208,p4066,506.74,17,3,False
332,p240,p3398,480.31,15,1,False
333,p4591,p2193,736.31,1,4,False
334,p2335,p3120,606.04,23,1,False
335,p1942,p1789,278.59,11,5,False
336,p136,p583,199.37,1,3,False
337,p977,p4439,630.13,9,2,False
338,p2493,p2990,129.66,8,5,False
339,p3304,p2782,886.43,20,2,False
340,p1293,p2124,536.03,15,5,False
341,p1270,p3624,556.0,20,2,False
342,p4555,p3640,693.26,18,7,False
343,p4195,p4428,176.13,7,6,False
344,p3574,p4501,541.36,23,5,False
345,p3817,p1836,448.89,22,5,False
346,p4581,p3325,731.75,22,7,False
347,p477,p2947,639.73,24,2,False
348,p259,p4405,535.42,21,4,False
349,p3759,p1113,776.2,8,1,False
350,p2313,p2312,919.18,24,7,False
351,p2078,p1013,659.85,10,7,False
352,p834,p2940,505.83,7,7,False
353,p951,p1023,369.07,12,4,False
354,p3939,p2801,380.32,14,1,False
355,p2989,p1662,337.65,4,5,False
356,p3925,p1977,414.6,23,3,False
357,p3735,p133,464.22,5,3,False
358,p1937,p770,729.84,21,6,False
359,p2897,p3786,616.23,16,2,False
360,p3875,p464,263.74,22,5,False
361,p827,p1619,468.58,15,5,False
362,p1955,p902,426.98,7,6,False
363,p4838,p1672,590.0,11,1,False
364,p2128,p4763,453.26,12,1,False
365,p2822,p943,631.31,22,7,False
366,p4105,p3545,356.29,15,6,False
367,p3621,p3909,430.66,23,7,False
368,p4072,p4058,736.12,22,2,False
369,p1676,p4563,319.02,22,4,False
370,p3173,p585,794.91,3,3,False
371,p2091,p4982,90.49,21,7,False
372,p4171,p3556,474.74,17,2,False
373,p3662,p3757,184.67,9,2,False
374,p2038,p1925,309.7,23,7,False
375,p3200,p452,121.34,23,5,False
376,p3037,p4744,498.76,11,3,False
377,p2423,p404,194.43,11,4,False
378,p4156,p1976,546.12,3,2,False
379,p1305,p1528,385.68,1,7,False
380,p1249,p2610,442.62,10,5,False
381,p1373,p2584,158.15,11,5,False
382,p122,p1071,718.82,10,7,False
383,p2120,p3192,472.29,9,4,False
384,p2214,p884,518.2,22,2,False
385,p1010,p4811,334.32,7,5,False
386,p1905,p1037,722.63,16,1,False
387,p2404,p1801,639.97,8,6,False
388,p2317,p3758,271.46,2,1,False
389,p3754,p699,327.49,10,7,False
390,p241,p482,558.01,23,7,False
391,p725,p3149,648.22,5,1,False
392,p3835,p4571,570.29,5,3,False
393,p3646,p1943,277.53,1,2,False
394,p1845,p3289,507.17,18,6,False
395,p40,p3449,310.06,18,4,False
396,p4334,p1048,898.73,11,7,False
397,p489,p1666,509.18,4,7,False
398,p507,p1780,241.03,9,6,False
399,p4585,p531,775.48,9,4,False
400,p1250,p1134,480.62,2,4,False
401,p3079,p1962,878.95,21,1,False
402,p1224,p3574,444.97,24,7,False
403,p4596,p4964,221.6,19,1,False
404,p2934,p4659,568.13,2,6,False
405,p4302,p725,354.37,2,5,False
406,p1198,p747,300.13,4,4,False
407,p336,p2541,388.85,6,3,False
408,p2477,p4669,645.85,5,7,False
409,p3590,p1580,691.37,14,1,False
410,p311,p2182,520.4,11,1,False
411,p3416,p3633,551.64,23,3,False
412,p628,p3295,556.0,16,7,False
413,p1375,p3513,471.8,8,6,False
414,p3293,p2520,655.26,4,2,False
415,p4734,p394,168.64,1,1,False
416,p2837,p200,560.83,20,6,False
417,p2208,p491,689.31,6,3,False
418,p2494,p3600,831.77,3,6,False
419,p3054,p1747,571.32,6,3,False
420,p1003,p2170,506.81,9,2,False
421,p1611,p3366,170.34,4,2,False
422,p1111,p2905,480.41,21,7,False
423,p4861,p1979,596.6,15,5,False
424,p2589,p1739,670.86,9,4,False
425,p1040,p3992,333.94,13,4,False
426,p1257,p3348,366.31,16,7,False
427,p1663,p3469,464.89,1,7,False
428,p1600,p2378,865.13,2,4,False
429,p1624,p2880,444.42,13,5,False
430,p1403,p14,345.84,2,5,False
431,p171,p1074,305.29,17,3,False
432,p3054,p1747,491.7,3,3,False
433,p969,p1631,576.51,1,7,False
434,p1422,p1694,513.41,6,5,False
435,p3407,p1719,338.69,14,2,False
436,p3078,p992,656.79,3,5,False
437,p868,p3333,535.55,23,1,False
438,p1835,p4932,278.01,16,1,False
439,p999,p4380,639.94,17,6,False
440,p4173,p3490,835.68,19,3,False
441,p4569,p2318,528.6,2,1,False
442,p3734,p84,298.47,9,2,False
443,p1889,p4134,208.44,9,7,False
444,p1576,p4100,303.13,13,3,False
445,p4012,p4978,548.36,6,3,False
446,p1487,p2404,691.87,19,1,False
447,p1361,p1174,697.36,9,5,False
448,p416,p3119,478.26,10,2,False
449,p2070,p2959,766.42,14,7,False
450,p1127,p2484,379.38,5,7,False
451,p4966,p382,650.79,15,5,False
452,p207,p249,795.11,24,4,False
453,p2547,p3006,287.51,16,6,False
454,p1628,p934,443.9,5,4,False
455,p2491,p2401,557.47,8,2,False
456,p4135,p2371,800.88,9,6,False
457,p4713,p4867,668.49,13,5,False
458,p1636,p2999,577.48,8,6,False
459,p2675,p1626,310.74,15,3,False
460,p1999,p1502,600.9,16,6,False
461,p3055,p3160,159.25,14,5,False
462,p353,p2252,592.18,3,4,False
463,p1351,p636,405.12,12,1,False
464,p1731,p4655,768.8,16,2,False
465,p475,p3755,776.49,12,4,False
466,p4024,p4892,345.9,3,3,False
467,p4744,p4605,595.39,13,2,False
468,p4686,p4511,581.52,18,5,False
469,p3918,p4259,291.4,23,6,False
470,p1386,p3342,289.87,9,4,False
471,p3794,p2171,515.38,21,7,False
472,p2220,p2108,774.78,11,5,False
473,p584,p1778,592.69,3,3,False
474,p2806,p3024,445.36,4,1,False
475,p4583,p2945,708.1,17,4,False
476,p1919,p605,305.48,2,3,False
477,p3323,p2438,356.71,20,2,False
478,p4676,p3803,295.81,8,2,False
479,p4008,p1003,325.05,14,1,False
480,p2592,p195,498.47,6,3,False
481,p3000,p2751,660.19,22,2,False
482,p3540,p4838,722.4,2,3,False
483,p4384,p4557,133.77,20,6,False
484,p2442,p3772,475.03,16,6,False
485,p2047,p4550,525.73,1,6,False
486,p2272,p2842,794.89,11,1,False
487,p4212,p4729,708.07,14,6,False
488,p302,p465,775.21,4,6,False
489,p1611,p3718,231.88,5,2,False
490,p3322,p2412,441.98,17,5,False
491,p4466,p137,448.22,3,3,False
492,p1567,p789,862.02,11,4,False
493,p4867,p2800,115.65,16,2,False
494,p3834,p2814,767.0,17,6,False
495,p467,p1224,781.88,18,4,False
496,p610,p3299,201.76,22,7,False
497,p1954,p1327,739.06,15,1,False
498,p1677,p2926,796.25,16,2,False
499,p4867,p3183,101.75,14,5,False
500,p1874,p1146,585.85,20,6,False
501,p356,p1723,395.48,24,3,False
502,p2117,p3293,475.65,2,7,False
503,p3094,p1240,689.33,9,3,False
504,p208,p4632,379.7,19,3,False
505,p3000,p125,667.75,23,2,False
506,p4766,p45,705.49,9,5,False
507,p165,p989,660.09,14,1,False
508,p1528,p1603,615.27,22,3,False
509,p4699,p667,316.36,3,2,False
510,p2935,p1601,434.25,21,7,False
511,p1841,p1546,582.03,16,6,False
512,p565,p948,578.81,24,5,False
513,p4834,p757,380.74,16,2,False
514,p1979,p2808,849.59,5,6,False
515,p2925,p3445,788.35,17,6,False
516,p4506,p1881,485.21,11,4,False
517,p3126,p2676,644.83,21,5,False
518,p657,p3031,412.59,10,3,False
519,p89,p938,970.72,9,7,False
520,p4838,p2449,571.81,16,4,False
521,p625,p2439,677.59,23,6,False
522,p2488,p2579,234.48,21,5,False
523,p2212,p2924,449.66,19,7,False
524,p2518,p2396,457.46,5,3,False
525,p3165,p3339,180.39,8,3,False
526,p4360,p2718,748.72,17,1,False
527,p306,p24,348.67,19,1,False
528,p362,p1606,805.24,7,7,False
529,p1283,p3073,434.58,1,6,False
530,p4171,p3556,452.47,8,2,False
531,p353,p3057,122.58,2,4,False
532,p1783,p4952,820.44,8,3,False
533,p4437,p637,805.17,20,6,False
534,p480,p3954,730.99,2,1,False
535,p477,p3301,860.79,1,2,False
536,p86,p3776,447.9,22,4,False
537,p2354,p1305,504.59,9,5,False
538,p2308,p1023,336.76,22,5,False
539,p1434,p1278,717.92,24,3,False
540,p775,p4126,364.59,16,5,False
541,p312,p3387,389.09,11,5,False
542,p3562,p3807,494.56,5,3,False
543,p801,p1949,338.35,2,1,False
544,p1475,p230,538.74,16,6,False
545,p456,p439,579.92,10,7,False
546,p4580,p868,682.14,16,1,False
547,p4495,p763,729.52,22,1,False
548,p4051,p1457,612.49,3,2,False
549,p615,p4235,714.78,14,2,False
550,p3968,p425,814.78,14,4,False
551,p2942,p4540,647.23,19,4,False
552,p3393,p195,429.07,22,6,False
553,p3211,p2865,367.25,4,2,False
554,p2910,p3425,788.27,16,7,False
555,p2302,p3780,647.75,12,3,False
556,p1026,p1452,648.14,1,5,False
557,p2319,p2223,578.22,19,2,False
558,p4398,p1251,807.85,7,2,False
559,p3595,p596,384.44,8,4,False
560,p4514,p2438,523.68,8,6,False
561,p816,p186,843.54,13,5,False
562,p3983,p4469,388.46,21,3,False
563,p3846,p4268,579.37,22,6,False
564,p1827,p423,186.61,10,3,False
565,p1760,p1041,640.06,1,7,False
566,p2755,p1434,118.19,22,6,False
567,p1931,p2762,796.1,10,1,False
568,p1740,p239,230.52,11,2,False
569,p1743,p1668,238.49,4,2,False
570,p2283,p3204,415.67,12,7,False
571,p914,p2028,338.45,10,2,False
572,p1713,p3031,537.73,23,5,False
573,p516,p260,676.61,22,2,False
574,p539,p4475,735.28,23,1,False
575,p3069,p886,269.04,20,5,False
576,p712,p1974,357.11,8,4,False
577,p2345,p4119,571.4,2,3,False
578,p3285,p381,142.63,13,4,False
579,p3908,p3627,611.35,7,6,False
580,p2130,p4113,316.4,20,5,False
581,p1541,p4902,859.92,15,6,False
582,p4481,p52,469.57,4,2,False
583,p3192,p2803,800.48,8,1,False
584,p2361,p286,157.83,2,1,False
585,p2046,p2366,371.75,13,5,False
586,p67,p3637,418.81,12,7,False
587,p4306,p2008,562.52,11,4,False
588,p4788,p3547,665.11,24,3,False
589,p291,p262,777.88,13,6,False
590,p402,p2007,238.21,9,6,False
591,p3154,p4823,317.6,14,1,False
592,p2048,p808,542.81,18,2,False
593,p4534,p477,441.09,12,7,False
594,p3861,p108,640.86,6,6,False
595,p357,p3424,724.27,4,3,False
596,p4097,p884,771.39,22,7,False
597,p106,p3662,646.23,12,3,False
598,p872,p1409,883.34,23,3,False
599,p2459,p1647,244.2,10,2,False
600,p3407,p547,728.43,19,5,False
601,p2272,p2842,759.13,12,1,False
602,p959,p2728,378.76,24,3,False
603,p1022,p335,116.26,3,7,False
604,p3128,p2195,156.89,12,4,False
605,p1468,p872,662.05,8,2,False
606,p1179,p1689,96.06,4,4,False
607,p1709,p4558,546.31,3,1,False
608,p114,p3535,532.93,22,5,False
609,p1488,p1778,416.7,1,5,False
610,p4163,p54,841.49,1,4,False
611,p2669,p282,549.91,10,7,False
612,p4237,p3887,672.41,13,7,False
613,p1796,p2266,173.73,21,6,False
614,p3888,p2834,317.95,20,5,False
615,p733,p3513,386.9,2,4,False
616,p848,p2048,417.96,5,3,False
617,p4913,p1042,136.99,2,5,False
618,p2479,p1702,299.79,18,4,False
619,p3260,p4735,528.03,16,2,False
620,p2889,p3123,586.45,19,1,False
621,p402,p2722,767.81,7,6,False
622,p298,p4565,603.58,11,6,False
623,p1197,p2221,649.11,7,4,False
624,p1746,p4387,236.14,21,3,False
625,p4033,p212,446.3,4,4,False
626,p1555,p256,746.21,12,5,False
627,p668,p3554,759.63,7,1,False
628,p203,p4416,451.38,10,7,False
629,p1702,p4546,196.26,24,3,False
630,p4204,p1570,503.08,6,3,False
631,p1932,p412,229.46,2,3,False
632,p1923,p4832,258.73,4,1,False
633,p17,p2764,473.39,4,6,False
634,p4588,p1148,486.59,7,7,False
635,p71,p4590,694.64,4,3,False
636,p245,p3280,272.02,22,5,False
637,p3562,p2305,524.3,4,3,False
638,p1876,p4263,659.22,15,4,False
639,p1593,p1404,374.36,11,4,False
640,p4062,p3593,871.48,2,7,False
641,p3228,p3000,122.19,6,5,False
642,p4113,p1895,640.53,18,1,False
643,p718,p290,858.97,15,4,False
644,p216,p2346,533.86,14,4,False
645,p1537,p743,406.86,22,1,False
646,p51,p2554,636.14,21,2,False
647,p3947,p1555,83.96,23,5,False
648,p1686,p2650,216.83,22,2,False
649,p2153,p1471,636.05,17,2,False
650,p2955,p3400,499.08,11,6,False
651,p3692,p1944,764.78,2,2,False
652,p2148,p3130,428.13,5,3,False
653,p2247,p714,497.0,19,7,False
654,p2981,p491,103.62,5,5,False
655,p2163,p28,464.83,24,2,False
656,p3105,p3293,413.27,4,2,False
657,p3775,p4637,157.96,21,7,False
658,p2869,p3488,547.09,8,3,False
659,p2523,p3365,614.09,12,4,False
660,p2693,p4326,217.47,21,3,False
661,p2406,p2817,620.96,6,5,False
662,p3801,p2052,599.15,17,1,False
663,p2058,p2249,700.3,22,1,False
664,p2029,p2563,339.28,18,6,False
665,p4212,p4729,643.02,13,6,False
666,p2527,p4074,153.73,4,6,False
667,p291,p4045,789.7,18,5,False
668,p4573,p3692,134.14,24,3,False
669,p4257,p1992,602.22,12,1,False
670,p628,p3295,559.83,12,3,False
671,p1907,p2347,624.15,19,7,False
672,p945,p588,844.65,1,4,False
673,p3226,p2032,374.39,24,4,False
674,p2343,p1132,237.42,23,2,False
675,p4217,p2575,510.97,11,4,False
676,p3126,p503,607.1,20,5,False
677,p2966,p4761,445.81,9,6,False
678,p3444,p385,531.72,6,4,False
679,p451,p4583,418.78,19,1,False
680,p2221,p4685,573.85,23,5,False
681,p243,p3526,421.66,21,5,False
682,p2888,p355,406.72,22,4,False
683,p381,p1731,256.7,9,7,False
684,p459,p1091,514.24,2,7,False
685,p4999,p2743,879.39,2,7,False
686,p4138,p360,920.94,13,5,False
687,p1834,p4860,618.75,20,6,False
688,p1050,p2258,878.12,15,2,False
689,p2473,p59,479.89,17,6,False
690,p2546,p4206,560.86,2,4,False
691,p3918,p4344,279.43,23,6,False
692,p3558,p3055,362.33,20,2,False
693,p1316,p915,496.78,17,5,False
694,p4873,p4869,374.59,21,7,False
695,p2071,p4719,326.92,11,1,False
696,p4906,p3070,664.75,21,2,False
697,p3151,p4679,361.0,12,4,False
698,p2823,p1931,894.29,6,2,False
699,p3637,p4959,510.24,11,4,False
700,p1538,p2311,780.96,16,6,False
701,p4382,p622,432.96,21,2,False
702,p672,p460,435.77,20,2,False
703,p1573,p957,314.83,13,3,False
704,p1908,p2303,536.31,5,3,False
705,p2112,p4516,61.34,15,3,False
706,p55,p3750,751.16,12,1,False
707,p3704,p1840,801.43,24,6,False
708,p1747,p2862,163.06,1,5,False
709,p285,p4134,780.41,1,7,False
710,p2133,p71,554.65,1,5,False
711,p4679,p123,209.5,9,6,False
712,p1543,p2495,714.87,24,5,False
